key,name,other_names,annotation,notes
juno,Juno,,"Juno era la principal diosa del panteón romano y esposa de Júpiter. Era protectora del matrimonio, la maternidad y las mujeres.",
venus,Venus,,"Venus era la diosa romana del amor, la belleza y la fertilidad",
jupiter,Júpiter,,"Júpiter era el dios supremo del panteón romano, asociado al cielo, el rayo y la autoridad soberana.",
eolo,Eolo,,"Eolo era el dios de los vientos en la mitología romana, encargado de controlar y liberar los vientos según las órdenes de los dioses.",
marte,Marte,,"Marte era el dios romano de la guerra, la violencia y la fuerza militar.",
prosperina,Prosperina,,"Prosperina, en la mitología romana, era la diosa de la primavera y la fertilidad, asociada al ciclo de la vegetación.",
palas,Palas,,"Palas era la diosa romana de la sabiduría, la estrategia y las artes.",
penelope,Penélope,,"Penélope es la fiel esposa de Ulises, conocida por su astucia y paciencia. Durante la larga ausencia de su esposo, resistió las presiones de los pretendientes y mantuvo la esperanza de su regreso.",
pluton,Plutón,,"Plutón era el dios romano del inframundo y de los muertos, encargado de gobernar sobre el reino subterráneo.",
radamante,Rhadamante,,"Rhadamante era uno de los tres jueces del inframundo en la mitología griega, encargado de juzgar a las almas de los muertos.",
caron,Carón,,"Carón (o Charón) era el barquero del inframundo en la mitología romana, encargado de transportar las almas de los muertos a través del río Estigia.",
ulises,Ulises,,"Ulises, también conocido como Odiseo en la mitología griega, es el héroe protagonista de la Odisea de Homero.",
apolo,Apolo,,"Apolo era el dios del sol, la música, la poesía, la profecía y la medicina. Hijo de Júpiter y Latona, se le asociaba con la armonía y la belleza, además de ser un protector de las artes y las disciplinas intelectuales.",
orfeo,Orfeo,,"Orfeo, en la mitología griega, era un músico y poeta excepcional cuya música tenía el poder de encantar a humanos, animales e incluso a los dioses.",
telemaco,Telémaco,,Telémaco era el hijo de Ulises y Penélope en la mitología griega.,
mariana,Juan de Mariana,,"Juan de Mariana fue un jesuita, teólogo, historiador y filósofo político español del siglo XVI, conocido por su Historia de España y sus ideas políticas y económicas. Nació en Talavera de la Reina en 1536 y falleció en Toledo en 1624.",
dimas,Dimas,,"Según la tradición cristiana, Dimas, el ""ladrón justo"", se arrepintió de sus pecados y pidió a Jesús ser recordado en su reino.",
gestas,Gestas,,"Gestas, el ""ladrón malvado"", rechazó el arrepentimiento y continuó su burla hacia Jesús.",
dbasavilbaso,Domingo de Basavilbaso,,Administrador de correos en Buenos Aires.,
mbasavilbaso,Manuel de Basavilbaso,,Hijo de Domingo de Basavilbaso,
castillejo,Castillejo ,,Administrador General del Correo Mayor del Virreinato del Perú,
manuelarco,Manuel del Arco,,Difunto,
juanantoniofernandez,Juan Antonio Fernández,,"Personaje no encontrado, sin datos históricos.",
juanjosefernandez,Juan José Fernández,,"Personaje no encontrado, sin datos históricos.",
pedropino,Pedro del Pino,,"Personaje no encontrado, sin datos históricos.",
fernando,Fernando Sueldo ,,Maestro de Postas,
jjtoro,Juan Jose de Toro,,Maestro de Postas,
bamphi,Francisco Bamphi,,Funcionario del sistema postal colonial,
moyano,Jose Florencio Moyano,,Maestro de Postas,
jjvertiz,Juan José de Vértiz,,"(Mérida de Yucatán, actual México, 1718 - Madrid, España, 1799). Último gobernador de Buenos Aires desde 1770 hasta 1776, año en el que se creó el Virreinato del Río de la Plata.",
brmuñiz,Bartolomé Raymundo Muñoz,,"Personaje no encontrado, sin datos históricos.",
malbin,Melchor Albín,,"(España, 1740 - Buenos Aires, 1823). Director de Correos.",
nferraridenoriega,Nicolás Ferrari de Noriega,,"Personaje no encontrado, sin datos históricos.",
andonaegui,Andonaegui,,Mariscal de campo,
franciscodealzaibar,Francisco Alzáibar,, Francisco de Alzaybar de Arteta (1695-1775) fue un marino y empresario,
bzabala,Don Bruno de Zabala,,"Bruno Mauricio de Zabala Cortázar Churruca y Estarte (Durango de Vizcaya, España, 6 de octubre de 1682 - río Paraná de la gobernación del Río de la Plata, 31 de enero de 1736) era un militar español que ejerció como gobernador rioplatense desde 1717 hasta 1734 y brevemente en forma interina en 1723 también como gobernador del Paraguay, siendo este último cargo el que volvería a ocupar en el año 1735. Es considerado el fundador de la ciudad de Montevideo, ciudad capital de Uruguay.[1]​",
dbasabilvaso,Don Domingo de Basavilbaso,,"Domingo de Basavilbaso de la Presa (Llodio, 1 de septiembre de 1709-Buenos Aires, 9 de mayo de 1775) fue un empresario y político de origen español, emigrado a los 18 años a la Gobernación del Río de la Plata, donde desarrolló principalmente su labor. Fue el organizador del sistema postal en la gobernación.",
falzaibar,Don Francisco Alzaibar,,"Don Francisco de Alzaibar fue un armador vizcaíno y empresario del siglo XVIII, nacido en 1695 en Lemoa, España, y fallecido en 1775 en Montevideo. Se le recuerda por organizar y conducir dos expediciones de colonos canarios a Montevideo, entre 1726 y 1729, donde se estableció y acumuló una considerable fortuna, cooperando significativamente en el desarrollo inicial de la ciudad y financiando la construcción de la primera Iglesia Matriz. ",
adelarosa,brigadier don agustin de la Rosa,,"Fue un capitán de infantería que fundó la Villa de Melo en 1795, la cual se convirtió en un fuerte militar y un punto estratégico en la frontera entre territorios españoles, indios y portugueses",
jviana,mariscal de campo Don Joaquin de Viana,,"José Joaquín de Viana fue un militar español, nacido el 20 de marzo de 1718 en Lagrán, España, que se desempeñó como el primer gobernador de Montevideo en dos períodos (1751-1764 y 1771-1773). Durante su gestión, impulsó la construcción de la ciudad y la fundación de otras poblaciones, así como fortalezas estratégicas en la región",
jdveanes,don Jose Diaz Veanes,,Capitán de marina español que emprendió diversas misiones y enfrentamientos contra los piratas portugueses y de otras nacionalidades en el Atlántico,
jvediacuadra,don Joaquin de vedia y la cuadra,,Nombrado en el texto como Interventor. No se encontraron mayores datos.,
melchorviana,don Melchor de Viana,,Fue administrador del Correo Marítimo en Montevideo desde 1767 hasta 1795,
colman,Nicolás Colman,,"Militar inglés al servicio de la Corona española, entre los años 1534 y 1550. Acompañó a Pedro de Mendoza en su expedición al Río de la Plata. ",
jjfigueroa,Juan Jacinto de Figueroa,,"Perteneciente a una de las familias más influyentes de Catamarca, los Figueroa. Adquirió la estancia en Sinsacate en 1762 por la suma de ocho mil pesos.",